iter	RMSE
0	181105.2173
1	174274.122
2	167789.1807
3	161655.4336
4	155786.9663
5	150409.7008
6	145026.8111
7	140226.4037
8	135640.2537
9	131247.4481
10	126753.0313
11	122777.6732
12	118930.4738
13	115330.2057
14	111763.2114
15	108599.2284
16	105556.5782
17	102639.2314
18	99985.48563
19	97161.16834
20	94514.69937
21	92068.26212
22	89709.05699
23	87581.47939
24	85448.90151
25	83505.029
26	81595.51338
27	79849.45906
28	78283.17514
29	76765.21542
30	75283.75707
31	73923.80303
32	72700.08943
33	71476.62447
34	70371.92803
35	69322.12493
36	68349.06203
37	67424.48326
38	66510.85651
39	65675.25847
40	64874.29744
41	64163.94086
42	63515.59462
43	62897.02947
44	62206.33323
45	61561.88162
46	60892.25811
47	60253.31013
48	59713.96429
49	59214.54164
50	58706.39486
51	58269.8133
52	57818.33001
53	57410.95275
54	57033.28913
55	56695.77226
56	56357.01586
57	55980.91122
58	55596.99248
59	55177.05459
60	54806.17843
61	54401.87381
62	54126.05647
63	53868.69023
64	53617.63235
65	53392.45286
66	53123.95126
67	52883.95436
68	52685.46839
69	52374.30875
70	52126.99813
71	51921.57028
72	51702.1932
73	51454.28614
74	51294.72764
75	51056.22192
76	50905.00989
77	50742.82295
78	50613.37359
79	50439.44624
80	50276.12484
81	50139.307
82	49981.4356
83	49803.93516
84	49693.99077
85	49578.92267
86	49470.18494
87	49308.35818
88	49182.14234
89	49097.28142
90	49019.90505
91	48817.05742
92	48720.2998
93	48609.0933
94	48452.89842
95	48349.67726
96	48207.64279
97	48045.64005
98	47961.26175
99	47833.64294
100	47708.79802
101	47622.12113
102	47492.73332
103	47414.28005
104	47250.82123
105	47178.5924
106	47063.59504
107	46940.62942
108	46812.21286
109	46754.38718
110	46700.11492
111	46638.52547
112	46526.05426
113	46440.23734
114	46341.42926
115	46255.68835
116	46132.85179
117	46069.01344
118	45992.71225
119	45921.92245
120	45809.48729
121	45745.23531
122	45655.12379
123	45609.6594
124	45524.21211
125	45399.95766
126	45327.5944
127	45245.49502
128	45168.50471
129	45092.43498
130	45038.52244
131	44993.36355
132	44931.8725
133	44893.17883
134	44835.57122
135	44773.03413
136	44669.92234
137	44608.90669
138	44572.26257
139	44491.35445
140	44432.82308
141	44350.67056
142	44288.64088
143	44214.40427
144	44174.52884
145	44106.34208
146	44022.42364
147	43970.99961
148	43924.0507
149	43812.8617
150	43763.75854
151	43722.21296
152	43645.40788
153	43595.83574
154	43525.45292
155	43473.23265
156	43423.03535
157	43342.50112
158	43293.90099
159	43227.56418
160	43182.93977
161	43113.61186
162	43064.30911
163	42984.82724
164	42940.66879
165	42887.87825
166	42845.81662
167	42785.05874
168	42725.97231
169	42684.31365
170	42634.47087
171	42589.86588
172	42535.82053
173	42460.04772
174	42421.8362
175	42389.14525
176	42341.04639
177	42288.26445
178	42244.04365
179	42207.22299
180	42136.21901
181	42075.44217
182	42043.27048
183	42001.09924
184	41957.98816
185	41922.26832
186	41847.90236
187	41816.91295
188	41744.56271
189	41693.93153
190	41636.31883
191	41604.43535
192	41560.98128
193	41516.09017
194	41479.32294
195	41421.19373
196	41381.1081
197	41344.74431
198	41327.06465
199	41294.07811
200	41257.40041
201	41228.96045
202	41200.66134
203	41164.02204
204	41132.58945
205	41073.32628
206	41037.04164
207	41013.60517
208	40987.43784
209	40952.24924
210	40906.13805
211	40863.49644
212	40828.46783
213	40793.29575
214	40752.81765
215	40707.03673
216	40683.57371
217	40643.10633
218	40608.77398
219	40577.83614
220	40536.51925
221	40483.20914
222	40447.63979
223	40399.61947
224	40367.31416
225	40328.42213
226	40294.95208
227	40246.01112
228	40222.49731
229	40188.41495
230	40146.38236
231	40104.00974
232	40082.53179
233	40037.62764
234	39989.40904
235	39965.5845
236	39938.72221
237	39896.54223
238	39872.07492
239	39846.94288
240	39820.57457
241	39776.04771
242	39732.04115
243	39696.07196
244	39663.5856
245	39642.59184
246	39616.99669
247	39580.55071
248	39558.08853
249	39505.37757
250	39466.47472
251	39432.73234
252	39403.96928
253	39379.02408
254	39343.93828
255	39312.3484
256	39269.35298
257	39244.76216
258	39215.97502
259	39190.83946
260	39151.757
261	39099.86322
262	39075.21152
263	39043.89262
264	39016.50249
265	38984.15977
266	38961.51347
267	38940.36145
268	38911.26033
269	38887.90783
270	38851.41249
271	38797.93946
272	38759.17946
273	38727.32005
274	38702.70543
275	38677.00223
276	38649.28886
277	38601.98489
278	38577.64171
279	38535.1389
280	38506.3075
281	38488.10833
282	38462.19873
283	38436.23447
284	38402.05732
285	38367.18773
286	38331.6133
287	38304.90197
288	38284.64558
289	38263.21538
290	38242.1335
291	38208.1507
292	38177.52151
293	38148.38074
294	38127.34656
295	38099.68595
296	38067.083
297	38045.02929
298	38025.99336
299	38004.79
300	37977.89845
301	37935.55194
302	37892.67247
303	37863.87536
304	37840.76493
305	37821.36161
306	37786.22591
307	37762.38538
308	37743.438
309	37727.83092
310	37692.0913
311	37658.66233
312	37630.61959
313	37608.92792
314	37584.81283
315	37563.12554
316	37524.53478
317	37501.5767
318	37477.01982
319	37429.70011
320	37403.58119
321	37379.9244
322	37358.83711
323	37330.42435
324	37309.66966
325	37289.47801
326	37259.1999
327	37226.25505
328	37201.60729
329	37177.05015
330	37156.64689
331	37134.41027
332	37114.5805
333	37081.02684
334	37069.15415
335	37051.67849
336	37031.94376
337	37006.90445
338	36985.7587
339	36971.38263
340	36950.36305
341	36922.85468
342	36910.5772
343	36901.7077
344	36872.72966
345	36846.69003
346	36823.65333
347	36799.21433
348	36780.59473
349	36762.60864
350	36751.00723
351	36726.5437
352	36694.88855
353	36676.32743
354	36644.82665
355	36618.38211
356	36600.88405
357	36588.49239
358	36563.35358
359	36541.68006
360	36516.02554
361	36490.19081
362	36473.44544
363	36450.86956
364	36432.54696
365	36412.08801
366	36381.81364
367	36362.55646
368	36346.78295
369	36320.37861
370	36307.68314
371	36291.17159
372	36265.31914
373	36242.40086
374	36222.08348
375	36201.88436
376	36186.79574
377	36158.9636
378	36129.30697
379	36113.49245
380	36095.18394
381	36072.73307
382	36050.19853
383	36031.47888
384	36016.47609
385	36001.90939
386	35990.68097
