iter	Passed	Remaining
0	51	102441
1	85	85666
2	140	93760
3	165	82706
4	196	78264
5	223	74343
6	251	71636
7	277	69065
8	303	67055
9	325	64755
10	354	64028
11	384	63669
12	409	62518
13	431	61215
14	452	59900
15	479	59492
16	506	59056
17	528	58193
18	554	57828
19	582	57697
20	611	57634
21	632	56880
22	652	56054
23	676	55672
24	696	55010
25	719	54648
26	745	54460
27	774	54558
28	802	54518
29	828	54409
30	847	53845
31	872	53682
32	893	53231
33	916	53020
34	938	52717
35	960	52399
36	980	52038
37	1000	51675
38	1023	51446
39	1047	51334
40	1069	51124
41	1093	50962
42	1116	50820
43	1142	50781
44	1167	50713
45	1192	50658
46	1215	50496
47	1239	50416
48	1262	50275
49	1287	50224
50	1310	50069
51	1333	49940
52	1355	49798
53	1376	49609
54	1400	49517
55	1422	49389
56	1442	49179
57	1461	48922
58	1483	48815
59	1509	48817
60	1531	48695
61	1553	48554
62	1572	48362
63	1598	48355
64	1622	48298
65	1647	48286
66	1669	48167
67	1692	48076
68	1716	48032
69	1739	47958
70	1760	47820
71	1783	47745
72	1803	47604
73	1825	47501
74	1850	47505
75	1872	47401
76	1899	47438
77	1925	47449
78	1952	47469
79	1977	47456
80	1999	47367
81	2020	47250
82	2040	47128
83	2064	47086
84	2085	46996
85	2114	47052
86	2140	47059
87	2160	46949
88	2180	46820
89	2206	46827
90	2229	46763
91	2257	46809
92	2284	46847
93	2310	46840
94	2332	46778
95	2358	46780
96	2379	46682
97	2404	46668
98	2429	46649
99	2455	46646
100	2480	46641
101	2506	46633
102	2526	46536
103	2553	46554
104	2580	46570
105	2604	46541
106	2630	46535
107	2656	46537
108	2681	46525
109	2711	46584
110	2731	46479
111	2755	46458
112	2780	46423
113	2802	46372
114	2825	46312
115	2850	46294
116	2874	46256
117	2901	46278
118	2926	46258
119	2949	46214
120	2973	46169
121	2994	46089
122	3020	46092
123	3045	46078
124	3069	46037
125	3088	45941
126	3118	45986
127	3143	45980
128	3169	45965
129	3191	45911
130	3216	45893
131	3240	45858
132	3268	45881
133	3291	45836
134	3325	45943
135	3357	46011
136	3387	46060
137	3405	45952
138	3431	45945
139	3455	45905
140	3474	45814
141	3498	45781
142	3521	45733
143	3547	45727
144	3568	45650
145	3596	45665
146	3617	45596
147	3642	45585
148	3666	45550
149	3694	45562
150	3718	45527
151	3740	45477
152	3760	45401
153	3782	45340
154	3802	45267
155	3827	45241
156	3847	45160
157	3868	45102
158	3889	45030
159	3914	45018
160	3941	45018
161	3960	44934
162	3980	44859
163	4002	44804
164	4026	44785
165	4045	44692
166	4067	44642
167	4089	44598
168	4114	44582
169	4141	44582
170	4164	44543
171	4188	44519
172	4214	44509
173	4240	44504
174	4263	44464
175	4283	44388
176	4308	44371
177	4330	44329
178	4354	44300
179	4374	44227
180	4401	44234
181	4426	44215
182	4451	44202
183	4471	44132
184	4492	44078
185	4517	44056
186	4543	44053
187	4565	44004
188	4591	43999
189	4618	43997
190	4645	43994
191	4668	43961
192	4692	43931
193	4718	43924
194	4746	43934
195	4772	43927
196	4801	43943
197	4824	43904
198	4847	43867
199	4869	43826
200	4893	43798
201	4920	43798
202	4957	43880
203	4987	43906
204	5015	43919
205	5043	43923
206	5072	43934
207	5099	43937
208	5132	43981
209	5160	43988
210	5187	43980
211	5212	43965
212	5245	44010
213	5279	44065
214	5310	44090
215	5337	44087
216	5359	44033
217	5385	44024
218	5405	43963
219	5428	43922
220	5453	43897
221	5480	43892
222	5502	43847
223	5527	43821
224	5545	43745
225	5566	43697
226	5589	43657
227	5616	43651
228	5639	43615
229	5661	43572
230	5685	43542
231	5712	43533
232	5735	43499
233	5759	43468
234	5784	43446
235	5809	43420
236	5830	43372
237	5857	43364
238	5884	43355
239	5905	43308
240	5927	43262
241	5954	43253
242	5976	43213
243	6017	43304
244	6043	43288
245	6070	43283
246	6098	43279
247	6123	43258
248	6149	43244
249	6173	43214
250	6195	43170
251	6220	43148
252	6244	43119
253	6270	43105
254	6301	43122
255	6335	43157
256	6366	43175
257	6401	43219
258	6425	43190
259	6450	43168
260	6473	43130
261	6510	43186
262	6535	43167
263	6559	43136
264	6585	43113
265	6612	43102
266	6635	43066
267	6663	43065
268	6684	43011
269	6708	42981
270	6732	42955
271	6758	42935
272	6778	42883
273	6802	42852
274	6821	42791
275	6844	42756
276	6866	42710
277	6886	42658
278	6906	42600
279	6929	42568
280	6954	42544
281	6978	42514
282	7004	42498
283	7025	42452
284	7052	42437
285	7078	42422
286	7102	42390
287	7133	42405
288	7163	42410
289	7193	42418
290	7223	42421
291	7242	42366
292	7264	42320
293	7283	42264
294	7304	42217
295	7329	42192
296	7351	42150
297	7375	42126
298	7401	42109
299	7422	42060
300	7449	42046
301	7470	42000
302	7497	41988
303	7521	41963
304	7547	41945
305	7574	41930
306	7597	41899
307	7622	41872
308	7645	41839
309	7666	41795
310	7690	41764
311	7713	41733
312	7740	41719
313	7761	41673
314	7781	41627
315	7802	41581
316	7827	41558
317	7852	41533
318	7878	41516
319	7907	41512
320	7934	41499
321	7954	41453
322	7979	41427
323	8006	41414
324	8030	41387
325	8054	41359
326	8081	41346
327	8102	41304
328	8121	41251
329	8142	41207
330	8168	41187
331	8189	41145
332	8216	41129
333	8236	41082
334	8266	41087
335	8303	41124
336	8338	41149
337	8367	41144
338	8401	41163
339	8435	41186
340	8480	41257
341	8516	41285
342	8541	41265
343	8567	41245
344	8592	41221
345	8613	41174
346	8639	41156
347	8658	41102
348	8682	41072
349	8705	41041
350	8730	41018
351	8751	40972
352	8781	40970
353	8806	40947
354	8832	40929
355	8863	40932
356	8893	40930
357	8923	40929
358	8955	40934
359	8979	40907
360	9003	40877
361	9028	40852
362	9049	40809
363	9075	40790
364	9099	40761
365	9119	40713
366	9147	40704
367	9171	40672
368	9197	40654
369	9222	40627
370	9243	40587
371	9263	40541
372	9289	40522
373	9312	40485
374	9338	40465
375	9359	40424
376	9385	40404
377	9417	40410
378	9452	40429
379	9475	40395
380	9497	40358
381	9522	40333
382	9546	40303
383	9573	40289
384	9600	40273
385	9623	40238
386	9649	40219
387	9741	40471
388	9781	40508
