iter	Passed	Remaining
0	50	100295
1	79	79222
2	120	80029
3	150	74856
4	182	72812
5	213	70888
6	242	69050
7	269	67088
8	297	65860
9	323	64345
10	349	63118
11	380	63116
12	410	62731
13	434	61619
14	455	60331
15	481	59743
16	512	59774
17	535	58994
18	571	59614
19	600	59484
20	627	59160
21	648	58322
22	668	57471
23	693	57136
24	716	56593
25	739	56133
26	762	55741
27	786	55378
28	806	54804
29	836	54905
30	864	54883
31	892	54864
32	916	54652
33	950	54980
34	973	54668
35	999	54516
36	1020	54156
37	1041	53785
38	1065	53578
39	1089	53376
40	1110	53067
41	1136	52999
42	1161	52884
43	1185	52706
44	1214	52754
45	1237	52579
46	1259	52319
47	1282	52170
48	1307	52048
49	1330	51880
50	1351	51639
51	1370	51354
52	1389	51050
53	1409	50786
54	1432	50659
55	1453	50474
56	1471	50153
57	1490	49894
58	1514	49817
59	1572	50833
60	1599	50842
61	1618	50596
62	1637	50348
63	1664	50365
64	1691	50348
65	1720	50425
66	1742	50280
67	1763	50113
68	1788	50039
69	1809	49896
70	1830	49720
71	1852	49615
72	1872	49432
73	1896	49368
74	1921	49306
75	1940	49117
76	1964	49067
77	1988	48990
78	2013	48973
79	2040	48969
80	2067	48988
81	2093	48974
82	2124	49057
83	2151	49075
84	2172	48954
85	2198	48920
86	2227	48970
87	2255	49002
88	2278	48916
89	2309	49002
90	2334	48979
91	2357	48902
92	2384	48901
93	2410	48878
94	2430	48738
95	2455	48704
96	2475	48562
97	2498	48499
98	2523	48464
99	2550	48455
100	2574	48408
101	2601	48416
102	2621	48284
103	2644	48219
104	2668	48169
105	2693	48121
106	2717	48074
107	2744	48085
108	2772	48102
109	2797	48071
110	2817	47947
111	2842	47920
112	2868	47893
113	2892	47850
114	2914	47771
115	2938	47719
116	2962	47675
117	2993	47744
118	3022	47768
119	3045	47709
120	3067	47642
121	3086	47510
122	3108	47438
123	3135	47437
124	3160	47408
125	3181	47323
126	3211	47365
127	3235	47323
128	3261	47303
129	3284	47249
130	3308	47195
131	3329	47122
132	3354	47087
133	3374	46992
134	3399	46959
135	3424	46936
136	3450	46916
137	3469	46813
138	3497	46832
139	3521	46781
140	3540	46678
141	3567	46674
142	3591	46635
143	3617	46622
144	3638	46545
145	3665	46541
146	3682	46425
147	3708	46410
148	3732	46371
149	3757	46340
150	3783	46324
151	3809	46310
152	3828	46218
153	3850	46158
154	3872	46093
155	3898	46076
156	3918	46003
157	3942	45959
158	3963	45895
159	3989	45881
160	4018	45896
161	4038	45817
162	4062	45788
163	4086	45753
164	4112	45736
165	4135	45686
166	4163	45695
167	4185	45646
168	4217	45690
169	4249	45742
170	4270	45680
171	4295	45650
172	4322	45643
173	4348	45630
174	4372	45594
175	4395	45551
176	4422	45549
177	4449	45544
178	4473	45507
179	4499	45495
180	4534	45570
181	4558	45531
182	4588	45558
183	4611	45517
184	4633	45454
185	4657	45421
186	4683	45407
187	4701	45315
188	4724	45272
189	4750	45251
190	4775	45230
191	4800	45201
192	4823	45157
193	4846	45121
194	4875	45134
195	4901	45114
196	4925	45076
197	4947	45028
198	4969	44978
199	4989	44901
200	5010	44846
201	5033	44800
202	5056	44763
203	5078	44708
204	5103	44684
205	5127	44657
206	5149	44601
207	5170	44543
208	5196	44533
209	5221	44503
210	5245	44473
211	5270	44450
212	5292	44398
213	5319	44391
214	5341	44348
215	5365	44311
216	5385	44247
217	5412	44243
218	5432	44175
219	5453	44123
220	5477	44090
221	5500	44050
222	5518	43973
223	5538	43914
224	5556	43833
225	5577	43778
226	5597	43719
227	5623	43702
228	5647	43677
229	5667	43616
230	5689	43570
231	5715	43559
232	5737	43508
233	5758	43460
234	5784	43447
235	5807	43407
236	5834	43404
237	5881	43541
238	5928	43684
239	5952	43653
240	5974	43608
241	6001	43596
242	6026	43571
243	6057	43594
244	6088	43614
245	6118	43626
246	6153	43674
247	6182	43675
248	6216	43713
249	6241	43691
250	6264	43651
251	6291	43640
252	6316	43619
253	6343	43608
254	6372	43610
255	6397	43585
256	6426	43585
257	6451	43561
258	6474	43521
259	6501	43511
260	6523	43465
261	6552	43469
262	6578	43449
263	6602	43413
264	6629	43404
265	6657	43401
266	6679	43353
267	6707	43351
268	6730	43311
269	6754	43276
270	6779	43253
271	6803	43221
272	6824	43168
273	6848	43139
274	6866	43073
275	6890	43038
276	6909	42976
277	6930	42932
278	6952	42886
279	6973	42838
280	6998	42814
281	7023	42789
282	7049	42770
283	7071	42727
284	7095	42696
285	7118	42662
286	7143	42639
287	7174	42649
288	7198	42615
289	7224	42599
290	7250	42583
291	7270	42529
292	7295	42500
293	7316	42458
294	7341	42428
295	7371	42433
296	7392	42387
297	7416	42359
298	7444	42351
299	7467	42314
300	7492	42291
301	7514	42248
302	7544	42256
303	7578	42281
304	7605	42265
305	7628	42232
306	7653	42204
307	7677	42174
308	7699	42133
309	7720	42088
310	7745	42062
311	7768	42027
312	7797	42026
313	7818	41981
314	7836	41919
315	7854	41859
316	7881	41841
317	7905	41815
318	7927	41776
319	7953	41753
320	7978	41730
321	7997	41678
322	8022	41651
323	8046	41625
324	8067	41576
325	8087	41527
326	8113	41510
327	8133	41458
328	8152	41405
329	8173	41363
330	8197	41333
331	8216	41279
332	8243	41265
333	8261	41208
334	8285	41179
335	8310	41156
336	8335	41135
337	8357	41097
338	8379	41055
339	8401	41019
340	8425	40991
341	8448	40960
342	8471	40922
343	8495	40895
344	8517	40861
345	8539	40823
346	8564	40798
347	8581	40735
348	8603	40700
349	8627	40672
350	8651	40643
351	8671	40597
352	8696	40575
353	8719	40542
354	8743	40515
355	8768	40494
356	8794	40473
357	8819	40450
358	8844	40429
359	8865	40386
360	8887	40349
361	8911	40324
362	8933	40287
363	8957	40260
364	8981	40232
365	9001	40185
366	9027	40167
367	9051	40141
368	9077	40121
369	9099	40088
370	9122	40053
371	9141	40007
372	9166	39983
373	9188	39947
374	9215	39935
375	9235	39891
376	9260	39867
377	9286	39847
378	9311	39826
379	9333	39791
380	9356	39757
381	9381	39736
382	9404	39704
383	9429	39682
384	9451	39648
385	9472	39606
386	9496	39580
387	9522	39562
388	9541	39515
389	9566	39492
390	9588	39456
391	9610	39424
392	9631	39381
393	9656	39360
394	9680	39333
395	9705	39310
396	9727	39277
397	9749	39242
398	9775	39226
399	9799	39197
400	9826	39182
401	9853	39167
402	9880	39156
403	9905	39133
404	9935	39129
405	9961	39111
406	9989	39098
407	10014	39078
408	10039	39053
409	10066	39039
410	10087	39001
411	10108	38963
412	10136	38951
413	10164	38938
414	10193	38932
415	10224	38932
416	10250	38910
417	10276	38895
418	10298	38859
419	10318	38817
420	10336	38768
421	10362	38747
422	10386	38723
423	10407	38683
424	10432	38661
425	10455	38632
426	10478	38601
427	10504	38580
428	10528	38557
429	10549	38517
430	10570	38480
431	10598	38468
432	10623	38445
433	10648	38422
434	10670	38388
435	10691	38351
436	10716	38330
437	10736	38287
438	10757	38251
439	10778	38214
440	10808	38208
441	10831	38180
442	10857	38161
443	10884	38144
444	10907	38113
445	10929	38082
446	10955	38061
447	10974	38019
448	10995	37980
449	11019	37955
450	11041	37922
451	11060	37879
452	11086	37861
453	11111	37837
454	11135	37811
455	11159	37786
456	11185	37767
457	11206	37731
458	11229	37700
459	11252	37671
460	11276	37647
461	11298	37613
462	11322	37586
463	11348	37566
464	11371	37538
465	11393	37504
466	11414	37470
467	11437	37441
468	11459	37408
469	11483	37382
470	11508	37358
471	11546	37378
472	11574	37365
473	11599	37343
474	11620	37307
475	11644	37283
476	11672	37268
477	11698	37249
478	11716	37205
479	11735	37161
480	11753	37119
481	11781	37102
482	11804	37073
483	11829	37052
484	11849	37014
485	11869	36977
486	11896	36958
487	11917	36924
488	11935	36880
489	11960	36856
490	11987	36839
491	12010	36811
492	12035	36788
493	12058	36762
494	12081	36733
495	12103	36700
496	12129	36682
497	12155	36660
498	12177	36630
499	12202	36607
500	12227	36584
501	12250	36556
502	12278	36543
503	12304	36522
504	12325	36488
505	12350	36464
506	12370	36428
507	12393	36400
508	12419	36380
509	12440	36345
510	12463	36318
511	12488	36295
512	12509	36260
513	12529	36222
514	12555	36203
515	12578	36176
516	12604	36156
517	12625	36122
518	12646	36087
519	12670	36061
520	12692	36032
521	12717	36007
522	12740	35979
523	12758	35938
524	12785	35922
525	12817	35919
526	12841	35893
527	12866	35870
528	12889	35842
529	12916	35825
530	12943	35809
531	12965	35777
532	12993	35761
533	13019	35741
534	13044	35719
535	13067	35691
536	13093	35672
537	13111	35631
538	13138	35612
539	13166	35598
540	13189	35570
541	13212	35542
542	13237	35520
543	13264	35502
544	13292	35487
545	13311	35447
546	13334	35421
547	13359	35397
548	13381	35366
549	13401	35331
550	13421	35294
551	13444	35268
552	13470	35246
553	13492	35218
554	13517	35195
555	13543	35173
556	13566	35144
557	13593	35128
558	13615	35097
559	13638	35070
560	13663	35048
561	13690	35029
562	13709	34992
563	13731	34961
564	13758	34943
565	13778	34908
566	13800	34879
567	13824	34854
568	13846	34823
569	13871	34799
570	13898	34782
571	13921	34754
572	13943	34724
573	13970	34706
574	13996	34686
575	14021	34664
576	14048	34645
577	14073	34624
578	14102	34610
579	14128	34590
580	14157	34576
581	14180	34549
582	14209	34535
583	14235	34516
584	14261	34496
585	14285	34470
586	14307	34439
587	14333	34420
588	14361	34404
589	14387	34384
590	14416	34370
591	14446	34360
592	14476	34348
593	14511	34347
594	14534	34320
595	14563	34307
596	14585	34277
597	14606	34245
598	14631	34221
599	14655	34196
600	14681	34174
601	14711	34163
602	14739	34146
603	14767	34130
604	14792	34109
605	14812	34073
606	14836	34047
607	14863	34029
608	14886	34001
609	14911	33979
610	14933	33949
611	14953	33914
612	14976	33887
613	14999	33859
614	15019	33825
615	15043	33798
616	15067	33774
617	15090	33747
618	15111	33714
619	15131	33680
620	15154	33652
621	15176	33623
622	15201	33598
623	15227	33578
624	15246	33542
625	15277	33531
626	15302	33508
627	15324	33480
628	15351	33460
629	15377	33440
630	15400	33412
631	15427	33394
632	15447	33359
633	15469	33329
634	15490	33298
635	15513	33271
636	15535	33241
637	15559	33216
638	15580	33185
639	15601	33153
640	15623	33123
641	15650	33105
642	15672	33076
643	15693	33044
644	15710	33004
645	15731	32972
646	15752	32942
647	15774	32912
648	15804	32899
649	15829	32875
650	15855	32855
651	15874	32819
652	15895	32788
